backbone,dataset,strategy,layer,assigned_rank,pre_acc,post_acc,delta
openai/clip-vit-base-patch16,cifar100,vanilla,5,8,61.529999999999994,64.28,2.750000000000007
openai/clip-vit-base-patch16,cifar100,vanilla,6,8,65.18,68.03,2.8499999999999943
openai/clip-vit-base-patch16,cifar100,vanilla,7,8,67.44,71.59,4.150000000000006
openai/clip-vit-base-patch16,cifar100,vanilla,8,8,69.6,76.14,6.540000000000006
openai/clip-vit-base-patch16,cifar100,vanilla,9,8,73.46000000000001,82.67999999999999,9.219999999999985
openai/clip-vit-base-patch16,cifar100,vanilla,10,8,75.92,85.72,9.799999999999997
openai/clip-vit-base-patch16,cifar100,vanilla,11,8,79.10000000000001,87.69,8.58999999999999
openai/clip-vit-base-patch16,cifar100,support_weak,0,13,30.9,31.569999999999997,0.6699999999999982
openai/clip-vit-base-patch16,cifar100,support_weak,1,12,38.16,37.96,-0.19999999999999574
openai/clip-vit-base-patch16,cifar100,support_weak,2,10,45.51,45.839999999999996,0.3299999999999983
openai/clip-vit-base-patch16,cifar100,support_weak,3,9,51.74999999999999,53.82,2.0700000000000074
openai/clip-vit-base-patch16,cifar100,support_weak,4,8,58.199999999999996,60.74,2.5400000000000063
openai/clip-vit-base-patch16,cifar100,support_weak,5,7,61.529999999999994,64.69,3.1600000000000037
openai/clip-vit-base-patch16,cifar100,support_weak,6,6,65.18,69.1,3.9199999999999875
openai/clip-vit-base-patch16,cifar100,support_weak,7,6,67.44,73.32,5.8799999999999955
openai/clip-vit-base-patch16,cifar100,support_weak,8,6,69.6,76.25,6.650000000000006
openai/clip-vit-base-patch16,cifar100,support_weak,9,5,73.46000000000001,82.32000000000001,8.86
openai/clip-vit-base-patch16,cifar100,support_weak,10,4,75.92,85.17,9.25
openai/clip-vit-base-patch16,cifar100,support_weak,11,4,79.10000000000001,87.35000000000001,8.25
openai/clip-vit-base-patch16,cifar100,amplify_strong,0,4,30.9,31.28,0.38000000000000256
openai/clip-vit-base-patch16,cifar100,amplify_strong,1,5,38.16,38.080000000000005,-0.07999999999999119
openai/clip-vit-base-patch16,cifar100,amplify_strong,2,6,45.51,45.62,0.10999999999999943
openai/clip-vit-base-patch16,cifar100,amplify_strong,3,6,51.74999999999999,52.410000000000004,0.6600000000000108
openai/clip-vit-base-patch16,cifar100,amplify_strong,4,7,58.199999999999996,60.28,2.0800000000000054
openai/clip-vit-base-patch16,cifar100,amplify_strong,5,8,61.529999999999994,63.57000000000001,2.0400000000000134
openai/clip-vit-base-patch16,cifar100,amplify_strong,6,8,65.18,66.23,1.0499999999999972
openai/clip-vit-base-patch16,cifar100,amplify_strong,7,9,67.44,72.09,4.650000000000006
openai/clip-vit-base-patch16,cifar100,amplify_strong,8,9,69.6,75.76,6.160000000000011
openai/clip-vit-base-patch16,cifar100,amplify_strong,9,9,73.46000000000001,81.83,8.36999999999999
openai/clip-vit-base-patch16,cifar100,amplify_strong,10,10,75.92,85.35000000000001,9.430000000000007
openai/clip-vit-base-patch16,cifar100,amplify_strong,11,10,79.10000000000001,87.29,8.189999999999998
openai/clip-vit-base-patch16,cifar100,proportional,0,4,30.9,31.130000000000003,0.23000000000000398
openai/clip-vit-base-patch16,cifar100,proportional,1,5,38.16,38.45,0.29000000000000625
openai/clip-vit-base-patch16,cifar100,proportional,2,7,45.51,46.62,1.1099999999999994
openai/clip-vit-base-patch16,cifar100,proportional,3,9,51.74999999999999,53.21,1.460000000000008
openai/clip-vit-base-patch16,cifar100,proportional,4,10,58.199999999999996,60.51,2.3100000000000023
openai/clip-vit-base-patch16,cifar100,proportional,5,11,61.529999999999994,64.0,2.470000000000006
openai/clip-vit-base-patch16,cifar100,proportional,6,12,65.18,69.43,4.25
openai/clip-vit-base-patch16,cifar100,proportional,7,13,67.44,71.87,4.430000000000007
openai/clip-vit-base-patch16,cifar100,proportional,8,13,69.6,76.32,6.719999999999999
openai/clip-vit-base-patch16,cifar100,proportional,9,14,73.46000000000001,82.43,8.969999999999999
openai/clip-vit-base-patch16,cifar100,proportional,10,15,75.92,85.50999999999999,9.58999999999999
openai/clip-vit-base-patch16,cifar100,proportional,11,15,79.10000000000001,87.9,8.799999999999997
openai/clip-vit-base-patch16,oxford_pets,vanilla,0,8,11.63804851458163,13.682202234941402,2.0441537203597715
openai/clip-vit-base-patch16,oxford_pets,vanilla,1,8,20.986644862360315,23.058053965658218,2.0714091032979027
openai/clip-vit-base-patch16,oxford_pets,vanilla,2,8,34.2055055873535,34.06922867266285,-0.1362769146906473
openai/clip-vit-base-patch16,oxford_pets,vanilla,3,8,43.52684655219406,43.7448896156991,0.21804306350504277
openai/clip-vit-base-patch16,oxford_pets,vanilla,4,8,46.47042790951213,46.82474788770782,0.35431997819569006
openai/clip-vit-base-patch16,oxford_pets,vanilla,5,8,48.16026165167621,49.08694467157264,0.92668301989643
openai/clip-vit-base-patch16,oxford_pets,vanilla,6,8,46.7157263559553,48.923412373943854,2.207686017988557
openai/clip-vit-base-patch16,oxford_pets,vanilla,7,8,48.21477241755247,54.183701281002996,5.968928863450529
openai/clip-vit-base-patch16,oxford_pets,vanilla,8,8,57.045516489506674,66.20332515671845,9.157808667211775
openai/clip-vit-base-patch16,oxford_pets,vanilla,9,8,72.41755246661215,83.67402562005996,11.256473153447814
openai/clip-vit-base-patch16,oxford_pets,vanilla,10,8,84.65521940583265,92.75006813845734,8.094848732624683
openai/clip-vit-base-patch16,oxford_pets,vanilla,11,8,93.32243118015808,94.0583265194876,0.7358953393295167
openai/clip-vit-base-patch16,oxford_pets,support_weak,0,14,11.63804851458163,13.273371490869446,1.6353229762878154
openai/clip-vit-base-patch16,oxford_pets,support_weak,1,12,20.986644862360315,22.158626328699917,1.1719814663396022
openai/clip-vit-base-patch16,oxford_pets,support_weak,2,10,34.2055055873535,33.14254565276642,-1.0629599345870773
openai/clip-vit-base-patch16,oxford_pets,support_weak,3,9,43.52684655219406,43.66312346688471,0.1362769146906544
openai/clip-vit-base-patch16,oxford_pets,support_weak,4,8,46.47042790951213,48.62360316162442,2.153175252112291
openai/clip-vit-base-patch16,oxford_pets,support_weak,5,8,48.16026165167621,50.504224584355406,2.3439629326791973
openai/clip-vit-base-patch16,oxford_pets,support_weak,6,8,46.7157263559553,50.28618152085037,3.5704551648950726
openai/clip-vit-base-patch16,oxford_pets,support_weak,7,8,48.21477241755247,56.8819841918779,8.66721177432543
openai/clip-vit-base-patch16,oxford_pets,support_weak,8,6,57.045516489506674,68.68356500408831,11.638048514581634
openai/clip-vit-base-patch16,oxford_pets,support_weak,9,4,72.41755246661215,86.01798855273917,13.600436086127019
openai/clip-vit-base-patch16,oxford_pets,support_weak,10,2,84.65521940583265,91.93240665031344,7.2771872444807855
openai/clip-vit-base-patch16,oxford_pets,support_weak,11,1,93.32243118015808,94.57617879531207,1.2537476151539977
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,0,1,11.63804851458163,13.327882256745708,1.689833742164078
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,1,3,20.986644862360315,20.877623330607793,-0.10902153175252138
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,2,5,34.2055055873535,33.932951757972205,-0.2725538293812946
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,3,6,43.52684655219406,44.15372035977106,0.6268738075769988
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,4,7,46.47042790951213,47.72417552466612,1.2537476151539906
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,5,7,48.16026165167621,48.950667756881984,0.7904061052057756
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,6,7,46.7157263559553,49.795584627964026,3.079858272008728
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,7,7,48.21477241755247,56.963750340692286,8.748977923139819
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,8,9,57.045516489506674,67.18451894249114,10.139002452984464
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,9,11,72.41755246661215,83.51049332243117,11.092940855819023
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,10,13,84.65521940583265,91.93240665031344,7.2771872444807855
openai/clip-vit-base-patch16,oxford_pets,amplify_strong,11,14,93.32243118015808,93.86753883892068,0.5451076587626034
openai/clip-vit-base-patch16,oxford_pets,proportional,0,4,11.63804851458163,13.273371490869446,1.6353229762878154
openai/clip-vit-base-patch16,oxford_pets,proportional,1,5,20.986644862360315,22.21313709457618,1.2264922322158647
openai/clip-vit-base-patch16,oxford_pets,proportional,2,7,34.2055055873535,34.314527119106025,0.10902153175252494
openai/clip-vit-base-patch16,oxford_pets,proportional,3,8,43.52684655219406,43.336058871627145,-0.1907876805669133
openai/clip-vit-base-patch16,oxford_pets,proportional,4,9,46.47042790951213,47.31534478059417,0.8449168710820345
openai/clip-vit-base-patch16,oxford_pets,proportional,5,9,48.16026165167621,49.304987735077674,1.1447260834014656
openai/clip-vit-base-patch16,oxford_pets,proportional,6,9,46.7157263559553,49.877350776778414,3.1616244208231166
openai/clip-vit-base-patch16,oxford_pets,proportional,7,9,48.21477241755247,54.810575088579995,6.595802671027528
openai/clip-vit-base-patch16,oxford_pets,proportional,8,10,57.045516489506674,65.41291905151267,8.367402562006
openai/clip-vit-base-patch16,oxford_pets,proportional,9,12,72.41755246661215,84.08285636413191,11.665303897519763
openai/clip-vit-base-patch16,oxford_pets,proportional,10,14,84.65521940583265,91.95966203325156,7.304442627418908
openai/clip-vit-base-patch16,oxford_pets,proportional,11,15,93.32243118015808,94.27636958299263,0.9539384028345523
openai/clip-vit-base-patch16,cub200,vanilla,0,8,5.868139454608215,6.316879530548844,0.4487400759406288
openai/clip-vit-base-patch16,cub200,vanilla,1,8,10.562651018294787,11.149464963755609,0.5868139454608219
openai/clip-vit-base-patch16,cub200,vanilla,2,8,18.018639972385227,19.31308249913704,1.294442526751812
openai/clip-vit-base-patch16,cub200,vanilla,3,8,22.040041422160854,23.09285467725233,1.0528132550914755
openai/clip-vit-base-patch16,cub200,vanilla,4,8,26.803589920607525,30.669658267172938,3.866068346565413
openai/clip-vit-base-patch16,cub200,vanilla,5,8,24.92233344839489,31.39454608215395,6.47221263375906
openai/clip-vit-base-patch16,cub200,vanilla,6,8,23.869520193303416,32.60269244045564,8.733172247152226
openai/clip-vit-base-patch16,cub200,vanilla,7,8,26.958923023817743,38.38453572661374,11.425612702795998
openai/clip-vit-base-patch16,cub200,vanilla,8,8,33.94891266827753,53.38280980324473,19.433897134967204
openai/clip-vit-base-patch16,cub200,vanilla,9,8,52.41629271660339,74.87055574732481,22.454263030721428
openai/clip-vit-base-patch16,cub200,vanilla,10,8,67.10390058681395,81.89506385916465,14.791163272350701
openai/clip-vit-base-patch16,cub200,vanilla,11,8,81.27373144632378,84.91542975491888,3.641698308595096
openai/clip-vit-base-patch16,cub200,support_weak,0,11,5.868139454608215,6.454953400069037,0.5868139454608219
openai/clip-vit-base-patch16,cub200,support_weak,1,10,10.562651018294787,10.182947877114257,-0.3797031411805296
openai/clip-vit-base-patch16,cub200,support_weak,2,9,18.018639972385227,18.41560234725578,0.3969623748705544
openai/clip-vit-base-patch16,cub200,support_weak,3,9,22.040041422160854,22.62685536762168,0.5868139454608254
openai/clip-vit-base-patch16,cub200,support_weak,4,8,26.803589920607525,30.186399723852258,3.382809803244733
openai/clip-vit-base-patch16,cub200,support_weak,5,8,24.92233344839489,31.411805315843978,6.489471867449087
openai/clip-vit-base-patch16,cub200,support_weak,6,9,23.869520193303416,31.11839834311357,7.248878149810153
openai/clip-vit-base-patch16,cub200,support_weak,7,8,26.958923023817743,36.451501553331035,9.492578529513292
openai/clip-vit-base-patch16,cub200,support_weak,8,7,33.94891266827753,54.142216085605796,20.193303417328266
openai/clip-vit-base-patch16,cub200,support_weak,9,5,52.41629271660339,75.18122195374526,22.764929237141878
openai/clip-vit-base-patch16,cub200,support_weak,10,3,67.10390058681395,81.91232309285468,14.808422506040728
openai/clip-vit-base-patch16,cub200,support_weak,11,2,81.27373144632378,85.34691059716948,4.073179150845704
openai/clip-vit-base-patch16,cub200,amplify_strong,0,1,5.868139454608215,6.4031756989989645,0.5350362443907493
openai/clip-vit-base-patch16,cub200,amplify_strong,1,2,10.562651018294787,11.011391094235416,0.4487400759406288
openai/clip-vit-base-patch16,cub200,amplify_strong,2,4,18.018639972385227,18.467380048325854,0.44874007594062704
openai/clip-vit-base-patch16,cub200,amplify_strong,3,5,22.040041422160854,23.50707628581291,1.4670348636520565
openai/clip-vit-base-patch16,cub200,amplify_strong,4,6,26.803589920607525,29.68588194684156,2.8822920262340332
openai/clip-vit-base-patch16,cub200,amplify_strong,5,6,24.92233344839489,30.859509837763206,5.9371763893683145
openai/clip-vit-base-patch16,cub200,amplify_strong,6,5,23.869520193303416,31.480842250604073,7.611322057300658
openai/clip-vit-base-patch16,cub200,amplify_strong,7,6,26.958923023817743,37.55609250949258,10.597169485674836
openai/clip-vit-base-patch16,cub200,amplify_strong,8,8,33.94891266827753,54.97065930272696,21.02174663444943
openai/clip-vit-base-patch16,cub200,amplify_strong,9,12,52.41629271660339,75.37107352433551,22.954780807732128
openai/clip-vit-base-patch16,cub200,amplify_strong,10,16,67.10390058681395,81.39454608215395,14.290645495340002
openai/clip-vit-base-patch16,cub200,amplify_strong,11,19,81.27373144632378,85.58853986882983,4.314808422506047
openai/clip-vit-base-patch16,cub200,proportional,0,4,5.868139454608215,6.213324128408699,0.34518467380048357
openai/clip-vit-base-patch16,cub200,proportional,1,4,10.562651018294787,10.441836382464619,-0.12081463583016827
openai/clip-vit-base-patch16,cub200,proportional,2,5,18.018639972385227,17.932343803935105,-0.08629616845012222
openai/clip-vit-base-patch16,cub200,proportional,3,6,22.040041422160854,22.26441146013117,0.22437003797031707
openai/clip-vit-base-patch16,cub200,proportional,4,7,26.803589920607525,29.582326544701417,2.7787366240938915
openai/clip-vit-base-patch16,cub200,proportional,5,7,24.92233344839489,31.101139109423542,6.178805661028651
openai/clip-vit-base-patch16,cub200,proportional,6,6,23.869520193303416,30.04832585433207,6.178805661028655
openai/clip-vit-base-patch16,cub200,proportional,7,7,26.958923023817743,39.282015878494995,12.323092854677252
openai/clip-vit-base-patch16,cub200,proportional,8,8,33.94891266827753,53.62443907490507,19.67552640662754
openai/clip-vit-base-patch16,cub200,proportional,9,11,52.41629271660339,73.69692785640318,21.28063513979979
openai/clip-vit-base-patch16,cub200,proportional,10,13,67.10390058681395,81.2909906800138,14.187090093199856
openai/clip-vit-base-patch16,cub200,proportional,11,15,81.27373144632378,85.15705902657922,3.8833275802554397
